ICAO,latitude,longitude,name,Enplanements,natural,amenity,shop,railway,public_transport,tourism,highway
KABI,32.411,-99.682,Abilene Regional Airport,77229,1,159,43,1,4,19,3
KACK,41.253,-70.06,Nantucket Memorial Airport,126610,68,40,15,0,135,2,132
KACT,31.611,-97.23,Waco Regional Airport,57344,4,124,38,0,0,8,0
KACY,39.458,-74.577,Atlantic City International Airport,568958,1,221,122,4,7,13,8
KAEX,31.327,-92.548,Alexandria International Airport,141173,0,112,35,0,2,5,1
KAGS,33.37,-81.964,Augusta Regional Airport (Bush Field),300598,7,55,12,1,0,8,0
KALB,42.748,-73.803,Albany International Airport,1440674,2,603,414,0,13,29,30
KAMA,35.219,-101.706,Rick Husband Amarillo International Airport,355705,0,40,13,0,0,2,0
KART,43.992,-76.022,Watertown International Airport,23844,11,131,71,0,0,7,0
KATL,33.64,-84.427,Hartsfield–Jackson Atlanta International Airport,51865797,0,453,170,48,38,50,7
KAUS,30.194,-97.67,Austin–Bergstrom International Airport,7714479,4,456,96,3,103,15,86
KBDL,41.939,-72.683,Bradley International Airport,3378035,27,209,59,3,2,27,1
KBED,42.47,-71.289,Hanscom Field / Hanscom Air Force Base,10194,170,380,377,15,702,200,698
KBFI,47.53,-122.302,King County International Airport (Boeing Field),18586,19,2507,2011,104,2996,397,1703
KBFL,35.433,-119.057,Meadows Field,105104,3,149,33,16,30,4,26
KBGR,44.807,-68.828,Bangor International Airport,336140,3,170,40,2,8,13,12
KBHM,33.563,-86.753,Birmingham–Shuttlesworth International Airport,1081328,4,456,74,8,247,17,825
KBLI,48.792,-122.537,Bellingham International Airport,368186,3,372,333,4,686,50,683
KBLV,38.545,-89.835,MidAmerica St. Louis Airport / Scott Air Force Base,152278,2,140,25,6,237,9,231
KBNA,36.124,-86.678,Nashville International Airport (Berry Field),8017347,6,767,219,8,80,51,78
KBOI,43.564,-116.223,Boise Airport (Boise Air Terminal) (Gowen Field),1943181,4,358,333,0,520,71,472
KBOS,42.364,-71.005,Gen. Edward Lawrence Logan International Airport,20006521,84,3221,1575,364,2953,375,2621
KBPT,29.951,-94.021,Jack Brooks Regional Airport (was Southeast Texas Regional),27694,2,99,25,0,0,2,0
KBRO,25.907,-97.426,Brownsville/South Padre Island International Airport,115711,1,208,164,0,6,18,9
KBTR,30.533,-91.149,Baton Rouge Metropolitan Airport (Ryan Field),390107,2,305,24,6,29,9,27
KBTV,44.472,-73.153,Burlington International Airport,658879,18,434,316,5,16,59,22
KBUF,42.94,-78.732,Buffalo Niagara International Airport,2523158,2,645,509,37,93,51,67
KBUR,34.201,-118.359,Hollywood Burbank Airport (was Bob Hope Airport),2680240,23,809,360,31,82,59,49
KBWI,39.175,-76.668,Baltimore/Washington International Airport,13371816,6,431,187,53,528,170,477
KCAE,33.939,-81.119,Columbia Metropolitan Airport,566660,1,213,143,3,2,7,0
KCDC,37.701,-113.099,Cedar City Regional Airport,15835,8,76,33,0,0,4,8
KCHA,35.035,-85.204,Lovell Field,504833,6,463,159,22,11,10,8
KCHS,32.899,-80.04,Charleston International Airport / Charleston AFB,2192893,1,345,169,6,3,21,1
KCLE,41.412,-81.85,Cleveland Hopkins International Airport,4701713,2,793,729,32,19,26,1
KCLL,30.588,-96.364,Easterwood Field,79309,3,121,68,0,19,20,24
KCLT,35.214,-80.943,Charlotte Douglas International Airport,22281949,1,486,243,64,339,65,207
KCMH,39.998,-82.892,John Glenn Columbus International Airport,3976620,1,853,431,7,463,22,464
KCOS,38.806,-104.7,City of Colorado Springs Municipal Airport,845742,1,245,224,2,2,20,4
KCOU,38.818,-92.219,Columbia Regional Airport,120235,2,19,0,0,0,6,3
KCPR,42.908,-106.464,Casper–Natrona County International Airport,86905,0,1,1,0,0,1,0
KCRP,27.77,-97.501,Corpus Christi International Airport,332499,0,119,7,1,476,0,477
KCVG,39.046,-84.662,Cincinnati/Northern Kentucky International Airport,4269258,1,216,221,4,206,10,358
KDAL,32.847,-96.852,Dallas Love Field,8011221,0,824,481,173,265,27,93
KDAY,39.902,-84.219,James M. Cox Dayton International Airport,858022,1,98,24,0,2,3,1
KDCA,38.852,-77.037,Ronald Reagan Washington National Airport,11366771,86,5216,2039,300,1997,669,1776
KDEN,39.858,-104.667,Denver International Airport,31362941,0,138,74,15,42,10,37
KDFW,32.896,-97.037,Dallas Fort Worth International Airport,32821799,0,544,301,44,58,23,11
KDHN,31.321,-85.449,Dothan Regional Airport,37047,0,54,25,1,0,0,1
KDLH,46.842,-92.194,Duluth International Airport,136806,0,127,61,1,243,38,757
KDRO,37.151,-107.754,Durango–La Plata County Airport,189225,0,1,0,0,0,0,0
KDSM,41.534,-93.663,Des Moines International Airport,1347876,0,399,275,0,198,95,198
KDTW,42.212,-83.353,Detroit Metro Wayne County Airport,17436837,0,322,240,3,237,9,236
KELP,31.807,-106.378,El Paso International Airport,1605486,7,241,79,0,9,13,31
KEWN,35.073,-77.043,Coastal Carolina Regional Airport (was Craven County Regional),111172,1,168,184,0,1,5,1
KEWR,40.692,-74.169,Newark Liberty International Airport,22797602,5,1068,382,208,1048,38,864
KEYW,24.556,-81.759,Key West International Airport,446005,10,144,88,0,21,43,19
KFAT,36.776,-119.718,Fresno Yosemite International Airport,853538,2,487,125,11,71,15,86
KFLL,26.072,-80.153,Fort Lauderdale–Hollywood International Airport,17612331,4,706,205,19,303,36,164
KFLO,34.185,-79.724,Florence Regional Airport,44333,1,252,37,4,5,5,1
KFSM,35.336,-94.367,Fort Smith Regional Airport,86793,9,215,17,0,0,10,0
KGCK,37.927,-100.724,Garden City Regional Airport,25243,0,1,0,0,0,0,0
KGEG,47.62,-117.534,Spokane International Airport (Geiger Field),1872781,3,136,97,5,392,62,384
KGFK,47.949,-97.176,Grand Forks International Airport,69800,0,46,23,4,3,7,0
KGGG,32.385,-94.711,East Texas Regional Airport,24588,0,23,4,0,0,0,0
KGNV,29.69,-82.272,Gainesville Regional Airport,233955,5,284,37,0,246,25,197
KGRB,44.485,-88.129,Green Bay–Austin Straubel International Airport,314909,4,397,361,1,1,40,0
KGRK,31.067,-97.829,Killeen–Fort Hood Regional Airport / Robert Gray Army Airfield,154328,8,105,48,0,12,5,12
KGRR,42.881,-85.523,Gerald R. Ford International Airport,1631398,0,161,128,0,5,5,5
KGTF,47.482,-111.371,Great Falls International Airport,176434,7,322,302,2,3,20,0
KHIB,47.386,-92.839,Range Regional Airport (was Chisholm–Hibbing Airport),17111,0,21,10,0,0,2,0
KHLN,46.607,-111.983,Helena Regional Airport,115438,9,225,152,0,12,9,10
KHOB,32.688,-103.217,Lea County Regional Airport,23475,0,49,30,0,0,2,0
KHOU,29.645,-95.279,William P. Hobby Airport,7053886,0,418,165,17,9,6,0
KHPN,41.067,-73.707,Westchester County Airport,789283,23,225,46,40,107,10,71
KHRL,26.228,-97.654,Valley International Airport,302236,0,75,73,0,0,4,0
KIAD,38.944,-77.456,Washington Dulles International Airport,11621623,3,700,360,26,97,19,72
KIAG,43.107,-78.946,Niagara Falls International Airport,119182,5,157,93,9,32,43,33
KIAH,29.98,-95.34,George Bush Intercontinental/Houston Airport,21157398,0,377,297,12,57,18,45
KICT,37.65,-97.433,Wichita Dwight D. Eisenhower National Airport (was Wichita Mid-Continent Airport),812252,0,249,72,3,0,38,1
KILM,34.271,-77.903,Wilmington International Airport,468816,0,332,125,0,10,26,10
KIND,39.717,-86.294,Indianapolis International Airport,4655847,3,300,156,5,2,11,31
KINL,48.566,-93.403,Falls International Airport (Einarson Field),17225,1,72,75,1,1,19,0
KIPT,41.242,-76.921,Williamsport Regional Airport,22547,1,104,28,0,5,18,5
KISP,40.795,-73.1,Long Island MacArthur Airport,811535,8,327,220,24,57,9,30
KJAN,32.311,-90.076,Jackson–Medgar Wiley Evers International Airport,489454,2,298,80,0,91,37,93
KJAX,30.494,-81.688,Jacksonville International Airport,3135508,0,80,41,8,0,6,0
KJFK,40.64,-73.779,John F. Kennedy International Airport (was New York International Airport),30620769,41,1774,1626,293,2350,52,2104
KLAN,42.779,-84.587,Capital Region International Airport (was Lansing Capital City),184018,0,559,527,2,26,52,26
KLAS,36.08,-115.152,Harry Reid International Airport,23795012,1,1507,623,54,162,139,106
KLAX,33.942,-118.408,Los Angeles International Airport,42624050,3,1888,1202,46,1200,122,1126
KLBB,33.664,-101.823,Lubbock Preston Smith International Airport,484010,1,28,17,0,12,18,14
KLCH,30.126,-93.223,Lake Charles Regional Airport,58122,1,90,30,0,28,0,28
KLCK,39.814,-82.928,Rickenbacker International Airport,154475,1,97,31,3,9,3,9
KLFT,30.205,-91.987,Lafayette Regional Airport (Paul Fournet Field),223529,1,193,109,2,2,8,1
KLGA,40.777,-73.872,LaGuardia Airport (and Marine Air Terminal),15058501,46,8579,5419,969,5445,514,4495
KLGB,33.818,-118.151,Long Beach Airport (Daugherty Field),1908635,6,1074,666,54,315,63,192
