,ICAO,IATA,name,city,country,latitude_deg,latitude_min,"latitude,sec",latitude_dir,longitude_deg,longitude_min,longitude_sec,longitude_dir,altitude,latitude,longitude
0,AYGA,GKA,GOROKA,GOROKA,PAPUA NEW GUINEA,6,4,54,S,145,23,30,E,1610,-6.082,145.392
1,AYLA,LAE,,LAE,PAPUA NEW GUINEA,0,0,0,U,0,0,0,U,0,0.0,0.0
2,AYMD,MAG,MADANG,MADANG,PAPUA NEW GUINEA,5,12,25,S,145,47,19,E,7,-5.207,145.789
3,AYMH,HGU,MOUNT HAGEN,MOUNT HAGEN,PAPUA NEW GUINEA,5,49,34,S,144,17,46,E,1643,-5.826,144.296
4,AYNZ,LAE,NADZAB,NADZAB,PAPUA NEW GUINEA,6,34,11,S,146,43,34,E,73,-6.57,146.726
5,AYPY,POM,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,PAPUA NEW GUINEA,9,26,36,S,147,13,12,E,45,-9.443,147.22
6,AYRB,RAB,,RABAUL,PAPUA NEW GUINEA,0,0,0,U,0,0,0,U,0,0.0,0.0
7,AYWK,WWK,WEWAK INTERNATIONAL,WEWAK,PAPUA NEW GUINEA,3,35,1,S,143,40,9,E,6,-3.584,143.669
8,BGAM,,,ANGMAGSSALIK,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
9,BGAS,,,ANGISSOQ,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
10,BGAT,,,APUTITEQ,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
11,BGBW,UAK,NARSARSUAQ,NARSSARSSUAQ,GREENLAND,61,9,40,N,45,25,39,W,35,61.161,-45.427
12,BGCH,JCH,,CHRISTIANSHAAB,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
13,BGCO,,NERLERIT INAAT CONSTABLE PYNT,NERLERIT INAAT,GREENLAND,70,44,22,N,22,38,45,W,14,70.739,-22.646
14,BGDB,,,DANEBORG,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
15,BGDH,,,DANMARKSHAVN,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
16,BGDU,,,DUNDAS,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
